1001,Nason House,100B,Quint
1002,Hunt House,100D,Quint
1003,Colwell House,100A,Quint
1004,Hunt House,200B,Quint
1005,Eugster House,200A,Quint
1006,Scott House,300B,Quint
1007,Collier House,200B,Quad
1008,Owens House,200C,Quint
1011,Scott House,200A,Quad
1012,Collier House,300B,Quad
1013,Owens House,300A,Quad
1014,Scott House,100A,Quad
1015,Eugster House,400A,Quad
1016,Eugster House,100C,Quad
1017,Owens House,100C,Quad
1018,Dow House,200D,Sextet
1019,Dixon House,200A,Sextet
1020,Brooks House,200B,Quad
1021,Page House West,200B,Quint
1022,Northfield Option,OPT,
1024,Brooks House,100A,Quad
1025,Davis Hall,314A,Quint
1026,Memorial Hall,205B,
1027,Cassat Hall,329,Single
1028,Memorial Hall,303B,
1029,Dixon House,100A,Triple
1030,Northfield Option,OPT,
1031,Memorial Hall,402C,
1032,Northfield Option,OPT,
1034,Memorial Hall,305B,
1035,Northfield Option,OPT,
1036,Northfield Option,OPT,
1037,Memorial Hall,302D,
1038,Memorial Hall,004A,
1039,Memorial Hall,202A,
1041,Northfield Option,OPT,
1042,Northfield Option,OPT,
1046,Memorial Hall,005C,
1047,Memorial Hall,405C,
1048,Collier House,100A,Quad
1049,Memorial Hall,103C,
1050,Northfield Option,OPT,
1051,Memorial Hall,203C,
1052,Northfield Option,OPT,
1053,Northfield Option,OPT,
1055,Memorial Hall,301A,
1057,Northfield Option,OPT,
1060,Davis Hall,204A,Quint
1061,Davis Hall,304A,Quint
1062,Northfield Option,OPT,
1063,Memorial Hall,204A,
1064,Memorial Hall,201C,
1065,Dow House,100B,Quad
1067,Northfield Option,OPT,
1068,Burton Hall,215,Single
1071,Burton Hall,108,Single
1072,Clader House,100A,Quad
1074,Northfield Option,OPT,
1075,Northfield Option,OPT,
1078,Northfield Option,OPT,
1079,Severance Hall,203C,Quad
1080,Northfield Option,OPT,
1081,Memorial Hall,102A,
1082,Northfield Option,OPT,
1083,Northfield Option,OPT,
1084,Memorial Hall,401B,
1085,Davis Hall,111,Single
1088,Davis Hall,412,Double
1089,Burton Hall,233,Single
1094,Davis Hall,404C,Quint
