1001,Nason House,100B,Quint
1002,Hunt House,200B,Quint
1003,Hunt House,100B,Quint
1004,Scott House,200B,Quad
1005,Colwell House,100B,Quint
1006,Scott House,300A,Quint
1007,Collier House,200B,Quad
1009,Eugster House,200A,Quint
1010,Owens House,200A,Quint
1011,Owens House,300B,Quad
1013,Dow House,200D,Sextet
1015,Eugster House,100C,Quad
1016,Eugster House,400C,Quad
1017,Collier House,300A,Quad
1018,Page House East,200C,Quint
1019,Dow House,100A,Quad
1021,Scott House,100B,Quad
1022,Dixon House,200B,Sextet
1023,Dixon House,100A,Triple
1024,Page House West,200B,Quint
1025,Owens House,100A,Quad
1028,Brooks House,200B,Quad
1031,Brooks House,100B,Quad
1034,Wilson House,203,Single
1035,Davis Hall,204A,Quint
1039,Memorial Hall,402A,Quint
1041,Davis Hall,314A,Quint
1042,Memorial Hall,301B,Quad
1044,Memorial Hall,404B,Quad
1045,Cassat Hall,316,Single
1047,Memorial Hall,405A,Quint
1049,Severance Hall,212A,Double
1050,Memorial Hall,302A,Quint
1052,Clader House,100A,Quad
1056,Memorial Hall,005C,Quint
1057,Cassat Hall,308,Single
1062,Wilson House,201,Single
1063,Memorial Hall,004B,Quint
1070,Severance Hall,307B,Triple
1073,Davis Hall,304A,Quint
1075,Memorial Hall,103C,Quad
1076,Collier House,100B,Quad
1084,Memorial Hall,201A,Quad
1088,Severance Hall,203B,Quad
1091,Nourse Hall,415,Single
1094,Memorial Hall,401A,Quad
1096,Davis Hall,114,Single
1097,Cassat Hall,127,Single
1102,Memorial Hall,101A,Quad
1103,Memorial Hall,204B,Quad
1104,Cassat Hall,318,Single
1107,Memorial Hall,102A,Quad
1108,Severance Hall,303C,Quad
1110,Cassat Hall,106,Single
1112,Memorial Hall,403B,Quad
1113,Cassat Hall,317,Single
1116,Davis Hall,104B,Quint
1120,Faculty Club Annex,200C,Quad
1122,Severance Hall,409B,Quint
1125,Cassat Hall,217,Single
1126,Davis Hall,404A,Quint
1127,Severance Hall,208B,Quad
1131,Burton Hall,209A,Double
1132,Severance Hall,304,Double
1141,Severance Hall,306A,Quad
1144,Severance Hall,210A,Quad
1148,Cassat Hall,208,Single
1149,Burton Hall,323,Single
1151,Burton Hall,325B,Triple
1154,Faculty Club,012A,Sextet
1159,Severance Hall,309B,Quad
1160,Cassat Hall,213,Double
1166,Allen House,108,Single
1171,Cassat Hall,227,Single
1173,Severance Hall,403B,Quad
1182,Severance Hall,213,Single
1183,Cassat Hall,408,Single
1184,Severance Hall,214A,Quad
1185,Cassat Hall,218,Single
1186,Davis Hall,309,Double
1191,Burton Hall,329,Single
1194,Davis Hall,116A,Triple
1202,Cassat Hall,108,Single
1203,Severance Hall,209A,Quad
1208,Cassat Hall,402,Double
1209,Nourse Hall,207,Single
1213,Cassat Hall,301,Single
1217,Severance Hall,312B,Quad
1220,Nourse Hall,108,Single
1221,Burton Hall,328,Single
1222,Watson Hall,715,Single
